,S. No.,TV,radio,newspaper,Actual Sales,Predicted Sales
76,77,27.5,1.6,20.7,6.9,4.477589040572711
77,78,120.5,28.5,14.2,14.2,13.811902227800488
78,79,5.4,29.9,9.4,5.3,8.813313526173594
79,80,116.0,7.7,23.1,11.0,9.675303283274502
80,81,76.4,26.7,22.3,11.8,11.445923639120625
81,82,239.8,4.1,36.9,12.3,14.647940925761018
82,83,75.3,20.3,32.5,11.3,10.17840799180992
83,84,68.4,44.5,35.6,13.6,14.421842119156551
84,85,213.5,43.0,33.8,21.7,20.7813646368339
85,86,193.2,18.4,65.7,15.2,15.181407889846495
86,87,76.3,27.5,16.0,12.0,11.59870739427725
87,88,110.7,40.6,63.2,16.0,15.593784747966527
88,89,88.3,25.5,73.4,12.9,11.711271005267472
89,90,109.8,47.8,51.4,16.7,16.922255106768958
90,91,134.3,4.9,9.3,11.2,9.999229651723482
91,92,28.6,1.5,33.0,7.3,4.496315984459368
92,93,217.7,33.5,59.0,19.4,19.156396162353218
93,94,250.9,36.5,72.3,22.2,21.2275737847621
94,95,107.4,14.0,10.9,11.5,10.482123854060985
95,96,163.3,31.6,52.9,16.9,16.314921124994108
96,97,197.6,3.5,5.9,11.7,12.635717161709081
97,98,184.9,21.0,22.0,15.5,15.337077822510244
98,99,289.7,42.3,51.2,25.4,24.11860722975336
99,100,135.2,41.7,45.9,17.2,16.940350209868633
100,101,222.4,4.3,49.8,11.7,13.875958437972796
101,102,296.4,36.3,100.9,23.8,23.24248684858422
102,103,280.2,10.1,21.4,14.8,17.644093845826692
103,104,187.9,17.2,17.9,14.7,14.762211416061414
104,105,238.2,34.3,5.3,20.7,20.301108784104407
105,106,137.9,46.4,59.0,19.2,17.936414673257328
106,107,25.0,11.0,29.7,7.2,6.126022148583052
107,108,90.4,0.3,23.2,8.7,7.108502485117364
108,109,13.1,0.4,25.6,5.3,3.5872584098050053
109,110,255.4,26.9,5.5,19.8,19.692931062134043
110,111,225.8,8.2,56.5,13.4,14.759874095117555
111,112,241.7,38.0,23.2,21.8,21.140274980335334
112,113,175.7,15.4,2.4,14.1,13.880609853211174
113,114,209.6,20.6,10.7,15.9,16.403776229871266
114,115,78.2,46.8,34.5,14.6,15.305095925878042
115,116,75.1,35.0,52.7,12.6,12.919688951958427
116,117,139.2,14.3,25.6,12.2,11.978747436893688
117,118,76.4,0.8,14.8,9.4,6.5707773987577
118,119,125.7,36.9,79.2,15.9,15.566093478520513
119,120,19.4,16.0,22.3,6.6,6.820067667138173
120,121,141.3,26.8,46.2,15.5,14.410106047152567
121,122,18.8,21.7,50.4,7.0,7.838076421805115
122,123,224.0,2.4,15.6,11.6,13.626457100609535
123,124,123.1,34.6,12.4,15.2,15.082790896662026
124,125,229.5,32.3,74.2,19.7,19.454413064179427
125,126,87.2,11.8,25.9,10.6,9.127349583004758
126,127,7.8,38.9,50.6,6.6,10.577174114180366
127,128,80.2,0.0,9.2,8.8,6.599668998991515
128,129,220.3,49.0,3.2,24.7,22.2554916145396
129,130,59.6,12.0,43.1,9.7,7.884106491488832
130,131,0.7,39.6,8.7,1.6,10.427687101769543
131,132,265.2,2.9,43.0,12.7,15.577798192467167
132,133,8.4,27.2,2.1,5.7,8.449150116070712
133,134,219.8,33.5,45.1,19.6,19.266923071099974
134,135,36.9,38.6,65.6,10.8,11.83680389621983
135,136,48.3,47.0,8.5,11.6,14.00141384924968
136,137,25.6,39.0,9.3,9.5,11.453486267632535
137,138,273.7,28.9,59.7,20.8,20.851251984902007
138,139,43.0,25.9,20.5,9.6,9.768427954852239
139,140,184.9,43.9,1.7,20.7,19.675476318699403
140,141,73.4,17.0,12.9,10.9,9.489640973247127
141,142,193.7,35.4,75.6,19.2,18.399029319063157
142,143,220.5,33.2,37.9,20.1,19.24986926774912
143,144,104.6,5.7,34.4,10.4,8.764802619866579
144,145,96.2,14.8,38.9,11.4,10.091334033305758
145,146,140.3,1.9,9.0,10.3,9.708538721613996
146,147,240.1,7.3,8.7,13.2,15.294223677333726
147,148,243.2,49.0,44.3,25.4,23.26086103142243
148,149,38.0,40.3,11.9,10.9,12.263359411362693
149,150,44.7,25.8,20.6,10.1,9.827271101130346
150,151,280.7,13.9,37.0,16.1,18.367205341380938
151,152,121.0,8.4,48.7,11.6,10.009537700506842
152,153,197.6,23.3,14.2,16.6,16.36000030443698
153,154,171.3,39.7,37.7,19.0,18.223901319920387
154,155,187.8,21.1,9.5,15.6,15.501616959053672
155,156,4.1,11.6,5.7,3.2,5.307558901735597
156,157,93.9,43.5,50.5,15.3,15.384851915018087
157,158,149.8,1.3,24.3,10.1,10.014311199739463
158,159,11.7,36.9,45.2,7.3,10.384198660049378
159,160,131.7,18.4,34.6,12.9,12.399148227960556
160,161,172.5,18.1,30.7,14.4,14.213832980330977
161,162,85.7,35.8,49.3,13.3,13.559145683664624
162,163,188.4,18.1,25.6,14.9,14.946782057588427
163,164,163.5,36.8,7.4,18.0,17.35163607549252
164,165,117.2,14.7,5.4,11.9,11.068294603100243
165,166,234.5,3.4,84.8,11.9,14.223721376270053
166,167,17.9,37.6,21.6,8.0,10.824395309518028
167,168,206.8,5.2,19.4,12.2,13.36324677258626
168,169,215.4,23.6,57.6,17.1,17.18614280057505
169,170,284.3,10.6,6.4,15.0,17.94155629629007
170,171,50.0,11.6,18.4,8.4,7.394979966498898
171,172,164.5,20.9,47.4,14.5,14.358273730249413
172,173,19.6,20.1,17.0,7.6,7.607692378719016
173,174,168.4,7.1,12.8,11.7,11.970938873323924
174,175,222.4,3.4,13.1,11.5,13.744357417405295
175,176,276.9,48.9,41.8,27.0,24.7868703141837
176,177,248.4,30.2,20.3,20.2,19.97937270274769
177,178,170.2,7.8,35.2,11.7,12.16204640283491
178,179,276.7,2.3,23.7,11.8,16.01099722077311
179,180,165.6,10.0,17.6,12.6,12.384554948507715
180,181,156.6,2.6,8.3,10.5,10.587199699509453
181,182,218.5,5.4,27.4,12.2,13.928099183458242
182,183,56.2,5.7,29.7,8.7,6.554669997124973
183,184,287.6,43.0,71.8,26.2,24.133100129464758
184,185,253.8,21.3,30.0,17.6,18.53852095512279
185,186,205.0,45.1,19.6,22.6,20.803010587194414
186,187,139.5,2.1,26.6,10.3,9.691373131085735
187,188,191.1,28.7,18.2,17.3,17.07644222816529
188,189,286.0,13.9,3.7,15.9,18.644306480609007
189,190,18.7,12.1,23.4,6.7,6.051624106991673
190,191,39.5,41.1,5.8,10.8,12.489159100639458
191,192,75.5,10.8,6.0,9.9,8.42401932580368
192,193,17.2,4.1,31.6,5.9,4.466229560514634
193,194,166.8,42.0,3.6,19.6,18.486957967031408
194,195,149.7,35.6,6.0,17.3,16.495300438165657
195,196,38.2,3.7,13.8,7.6,5.370342484466781
196,197,94.2,4.9,8.1,9.7,8.165312360613008
197,198,177.0,9.3,6.4,12.8,12.78592081693224
198,199,283.6,42.0,66.2,25.5,23.76732149176283
199,200,232.1,8.6,8.7,13.4,15.17319553568421
